S,T,M,F,W,TM,CO,C
"0,000000009",40000000,"1466,731231",2315000000,"0,000000044",-5,77,Good
"0,000000015",23000000,"1345,448384",1543000000,"0,000000024",-10,85,Good
"0,00000002",24000000,"1086,563535",1075000000,"0,000000096",58,26,Good
"0,000000001",26000000,"1099,595909",2467000000,"0,000000023",190,45,Good
"0,000000009",31000000,"1005,788063",2378000000,"0,000000058",201,18,Good
"0,000000012",32000000,"1212,26852",1316000000,"0,000000078",-5,56,Good
"0,000000009",33000000,"1367,787419",1001000000,"0,000000069",176,32,Good
"0,000000005",26000000,"1478,803104",2327000000,"0,000000085",235,64,Good
"0,000000002",38000000,"1408,24578",1284000000,"0,000000079",126,11,Good
"0,000000018",37000000,"1082,774787",2208000000,"0,00000009",77,49,Good
"0,000000019",40000000,"1456,918086",1922000000,"0,000000051",106,69,Good
"0,000000015",37000000,"1235,581794",1121000000,"0,000000027",167,23,Good
"0,000000012",31000000,"1035,750082",1590000000,"0,000000091",54,4,Good
"0,000000004",37000000,"1138,095743",2079000000,"0,000000074",261,1,Good
"0,000000008",40000000,"1183,218869",1468000000,"0,00000009",262,53,Good
"0,00000002",24000000,"1116,808672",1198000000,"0,000000052",178,53,Good
"0,00000001",27000000,"1484,619002",1644000000,"0,00000005",165,1,Good
"0,000000006",33000000,"1151,61073",1583000000,"0,000000082",226,57,Good
"0,000000007",30000000,"1219,447917",1405000000,"0,000000027",170,56,Good
"0,000000018",37000000,"1270,375107",1449000000,"0,000000096",285,27,Good
"0,000000017",30000000,"1222,410428",1766000000,"0,000000059",24,36,Good
"0,000000006",20000000,"1285,056258",1549000000,"0,000000049",285,69,Good
"0,000000012",28000000,"1299,040023",1162000000,"0,000000053",160,23,Good
"0,000000001",28000000,"1378,478709",2478000000,"0,000000093",273,43,Good
"0,000000016",30000000,"1403,513805",1504000000,"0,000000016",148,58,Good
"0,000000013",33000000,"1484,177338",2212000000,"0,0000001",121,84,Good
"0,000000001",29000000,"1220,718748",1905000000,"0,000000019",61,70,Good
"0,000000013",21000000,"1292,628104",1061000000,"0,000000093",177,44,Good
"0,00000001",32000000,"1250,622136",2130000000,"0,000000059",107,63,Good
"0,000000015",25000000,"1445,374641",1811000000,"0,000000014",97,27,Good
"0,000000014",36000000,"1056,935842",1738000000,"0,000000045",168,12,Good
"0,000000013",40000000,"1368,618394",1733000000,"0,000000045",144,35,Good
"0,000000014",31000000,"1358,178608",2345000000,"0,000000045",285,5,Good
"0,000000005",36000000,"1144,817833",1193000000,"0,000000044",84,56,Good
"0,000000004",40000000,"1334,586066",2022000000,"0,000000042",185,54,Good
"0,000000012",30000000,"1415,066878",2106000000,"0,000000072",272,70,Good
"0,000000013",29000000,"1133,755654",1057000000,"0,000000089",197,34,Good
"0,000000008",40000000,"1457,139856",1787000000,"0,000000013",149,59,Good
"0,000000018",22000000,"1449,120788",2084000000,"0,00000009",183,24,Good
"0,00000002",27000000,"1150,055452",1554000000,"0,000000093",131,67,Good
"0,000000003",35000000,"1343,812024",1689000000,"0,000000028",61,96,Good
"0,000000012",20000000,"1442,096706",1057000000,"0,000000025",79,30,Good
"0,000000019",27000000,"1206,485001",1399000000,"0,000000038",107,46,Good
"0,00000002",39000000,"1307,008242",1220000000,"0,000000011",70,4,Good
"0,00000001",37000000,"1371,387503",1758000000,"0,000000047",130,42,Good
"0,000000019",24000000,"1444,471466",1834000000,"0,000000077",110,73,Good
"0,000000013",35000000,"1161,227943",1431000000,"0,000000077",59,73,Good
"0,00000001",30000000,"1043,14011",2450000000,"0,000000087",245,76,Good
"0,000000017",27000000,"1325,03239",1888000000,"0,000000003",14,68,Good
"0,000000008",35000000,"1235,021225",1253000000,"0,000000057",28,46,Good
"0,000000004",39000000,"1333,688205",1436000000,"0,0000001",292,65,Good
"0,000000011",29000000,"1081,64354",1168000000,"0,000000097",72,60,Good
"0,000000005",33000000,"1060,632696",1553000000,"0,000000076",89,92,Good
"0,000000016",36000000,"1018,409712",1953000000,"0,000000058",188,84,Good
"0,00000002",33000000,"1444,33025",1540000000,"0,000000038",146,63,Good
"0,000000006",24000000,"1062,238568",1462000000,"0,000000096",279,81,Good
"0,000000013",32000000,"1490,780136",1590000000,"0,000000078",2,70,Good
"0,000000018",36000000,"1247,838341",1572000000,"0,000000088",-3,3,Good
"0,000000018",25000000,"1499,109865",2335000000,"0,000000055",107,64,Good
"0,000000015",35000000,"1383,792471",2100000000,"0,00000007",19,66,Good
"0,000000009",38000000,"1259,949047",2029000000,"0,000000067",217,17,Good
"0,000000011",36000000,"1315,482544",1108000000,"0,000000067",156,31,Good
"0,000000012",37000000,"1396,171843",1062000000,"0,000000013",115,89,Good
"0,00000001",23000000,"1397,422859",1626000000,"0,000000008",279,78,Good
"0,000000007",31000000,"1457,981128",1362000000,"0,000000074",62,47,Good
"0,000000019",30000000,"1332,860168",1209000000,"0,000000065",146,53,Good
"0,000000007",29000000,"1201,23406",1786000000,"0,000000093",200,67,Good
"0,000000012",34000000,"1148,829893",1187000000,"0,000000081",200,64,Good
"0,000000003",38000000,"1029,241591",1210000000,"0,000000054",260,54,Good
